time	count
68731.00	0.00
68766.00	1.00
68812.00	0.00
68849.00	1.00
68854.00	0.00
68889.00	1.00
68895.00	0.00
68927.00	1.00
68945.00	0.00
68971.00	1.00
68976.00	0.00
69027.00	1.00
69032.00	0.00
69059.00	1.00
69063.00	0.00
69101.00	1.00
69196.00	0.00
69222.00	1.00
69227.00	0.00
69253.00	1.00
69258.00	0.00
69282.00	1.00
69286.00	0.00
69310.00	1.00
69315.00	0.00
69434.00	1.00
69441.00	0.00
69506.00	1.00
69513.00	0.00
69600.00	1.00
69606.00	0.00
69708.00	1.00
69714.00	0.00
69994.00	1.00
70069.00	0.00
70140.00	1.00
70182.00	0.00
70211.00	1.00
70216.00	0.00
70239.00	1.00
70274.00	0.00
70303.00	1.00
70308.00	0.00
70332.00	1.00
70337.00	0.00
70370.00	1.00
70409.00	0.00
70445.00	1.00
70450.00	0.00
70488.00	1.00
70539.00	0.00
70581.00	1.00
70588.00	0.00
70698.00	1.00
70704.00	0.00
70738.00	1.00
70746.00	0.00
70789.00	1.00
70794.00	0.00
70819.00	1.00
70824.00	0.00
70849.00	1.00
70853.00	0.00
70879.00	1.00
70884.00	0.00
70911.00	1.00
70917.00	0.00
70958.00	1.00
70963.00	0.00
71011.00	1.00
71016.00	0.00
71064.00	1.00
71068.00	0.00
71117.00	1.00
71122.00	0.00
71238.00	1.00
71243.00	0.00
71303.00	1.00
71309.00	0.00
71372.00	1.00
71377.00	0.00
71445.00	1.00
71452.00	0.00
71504.00	1.00
71510.00	0.00
71565.00	1.00
71569.00	0.00
71647.00	1.00
71652.00	0.00
71701.00	1.00
71705.00	0.00
71778.00	1.00
71783.00	0.00
71858.00	1.00
71865.00	0.00
71899.00	1.00
71905.00	0.00
71979.00	1.00
71984.00	0.00
72048.00	1.00
72053.00	0.00
72090.00	1.00
72095.00	0.00
72160.00	1.00
72165.00	0.00
72230.00	1.00
72236.00	0.00
72285.00	1.00
72291.00	0.00
72353.00	1.00
72358.00	0.00
72424.00	1.00
72430.00	0.00
72485.00	1.00
72491.00	0.00
72554.00	1.00
72559.00	0.00
72768.00	1.00
72773.00	0.00
72862.00	1.00
72867.00	0.00
72952.00	1.00
72956.00	0.00
73220.00	1.00
73304.00	0.00
73343.00	1.00
73384.00	0.00
73418.00	1.00
73452.00	0.00
73488.00	1.00
73524.00	0.00
73561.00	1.00
73567.00	0.00
73600.00	1.00
73605.00	0.00
73637.00	1.00
73644.00	0.00
73678.00	1.00
73684.00	0.00
73812.00	1.00
73880.00	0.00
73930.00	1.00
73938.00	0.00
73970.00	1.00
73977.00	0.00
74012.00	1.00
74018.00	0.00
74052.00	1.00
74059.00	0.00
74089.00	1.00
74095.00	0.00
74131.00	1.00
74137.00	0.00
74207.00	1.00
74212.00	0.00
74246.00	1.00
74252.00	0.00
74284.00	1.00
74290.00	0.00
74324.00	1.00
74331.00	0.00
74390.00	1.00
74396.00	0.00
74429.00	1.00
74436.00	0.00
74480.00	1.00
74486.00	0.00
74531.00	1.00
74537.00	0.00
74584.00	1.00
74591.00	0.00
74636.00	1.00
74642.00	0.00
74692.00	1.00
74699.00	0.00
74745.00	1.00
74752.00	0.00
74808.00	1.00
74815.00	0.00
74860.00	1.00
74866.00	0.00
74897.00	1.00
74901.00	0.00
75060.00	1.00
75113.00	0.00
75131.00	1.00
75138.00	0.00
75166.00	1.00
75170.00	0.00
75300.00	1.00
75306.00	0.00
75368.00	1.00
75373.00	0.00
75434.00	1.00
75440.00	0.00
75533.00	1.00
75540.00	0.00
75634.00	1.00
75639.00	0.00
75868.00	1.00
75939.00	0.00
75980.00	1.00
76021.00	0.00
76059.00	1.00
76064.00	0.00
76094.00	1.00
76138.00	0.00
76178.00	1.00
76183.00	0.00
76213.00	1.00
76219.00	0.00
76245.00	1.00
76290.00	0.00
76327.00	1.00
76333.00	0.00
76363.00	1.00
76414.00	0.00
76454.00	1.00
76460.00	0.00
76495.00	1.00
76502.00	0.00
76532.00	1.00
76538.00	0.00
76571.00	1.00
76577.00	0.00
76612.00	1.00
76618.00	0.00
76678.00	1.00
76685.00	0.00
76746.00	1.00
76751.00	0.00
76814.00	1.00
76820.00	0.00
76876.00	1.00
76882.00	0.00
76947.00	1.00
76954.00	0.00
77040.00	1.00
77047.00	0.00
77129.00	1.00
77137.00	0.00
77241.00	1.00
77248.00	0.00
77308.00	1.00
77314.00	0.00
77374.00	1.00
77380.00	0.00
77434.00	1.00
77439.00	0.00
77495.00	1.00
77501.00	0.00
77564.00	1.00
77569.00	0.00
77647.00	1.00
77655.00	0.00
77704.00	1.00
77709.00	0.00
77780.00	1.00
77785.00	0.00
77866.00	1.00
77874.00	0.00
77917.00	1.00
77922.00	0.00
77998.00	1.00
78003.00	0.00
78112.00	1.00
78119.00	0.00
78164.00	1.00
78169.00	0.00
78239.00	1.00
78244.00	0.00
78311.00	1.00
78318.00	0.00
78370.00	1.00
78375.00	0.00
78442.00	1.00
78447.00	0.00
78517.00	1.00
78524.00	0.00
78587.00	1.00
78593.00	0.00
78658.00	1.00
78663.00	0.00
78840.00	1.00
78846.00	0.00
78937.00	1.00
78944.00	0.00
79041.00	1.00
79047.00	0.00
79297.00	1.00
79372.00	0.00
79406.00	1.00
79447.00	0.00
79483.00	1.00
79488.00	0.00
79513.00	1.00
79556.00	0.00
79588.00	1.00
79624.00	0.00
79671.00	1.00
79676.00	0.00
79704.00	1.00
79742.00	0.00
79778.00	1.00
